ax;ay;az;gx;gy;gz
4181;142;-614;2;-11;-14
4177;123;-643;2;-14;-16
4178;125;-643;6;-9;-16
4161;137;-640;5;-12;-18
4191;144;-590;6;-10;-23
4208;147;-579;7;-13;-21
4180;162;-621;4;-12;-25
4162;167;-642;6;-12;-23
4181;168;-649;4;-6;-22
4173;176;-642;3;-8;-21
4185;180;-600;1;-9;-18
4189;173;-616;0;-7;-17
4146;175;-614;-1;-6;-14
4145;183;-611;-2;-2;-14
4149;187;-614;0;-3;-10
4161;174;-625;-3;-8;-13
4163;204;-616;-3;-5;-6
4168;199;-628;-2;-5;-7
4149;208;-597;0;-6;-8
4166;170;-590;1;-10;-3
4172;192;-573;-1;-13;-1
4177;177;-585;-3;-6;-1
4174;166;-628;-1;-10;0
4167;150;-606;2;-16;-1
4161;144;-625;5;-15;-2
4175;162;-599;2;-12;-4
4168;153;-608;6;-14;-5
4183;154;-767;13;-11;-4
4170;143;-575;21;-2;-4
4173;139;-552;-1;-10;-9
4187;127;-593;-14;-18;-11
4173;151;-625;6;-15;-14
4162;163;-594;17;-14;-18
4165;144;-662;11;-15;-16
4140;150;-608;6;-22;-14
4120;171;-647;14;-19;-13
4162;199;-621;15;-17;-16
4161;197;-654;8;-17;-10
4147;190;-639;9;-17;-11
4174;194;-684;6;-10;-8
4204;176;-627;5;-11;-2
4192;173;-652;1;-8;-4
4200;183;-663;3;-7;1
4193;198;-615;1;-4;2
4199;180;-641;1;-2;4
4157;172;-621;3;-1;5
4187;149;-619;1;-3;7
4160;158;-607;-1;0;10
4154;140;-614;-2;-1;8
4159;146;-617;0;-2;6
4167;117;-628;1;1;3
4156;129;-598;0;1;5
4154;129;-619;-2;-1;0
4167;140;-635;3;1;-2
4174;126;-620;2;-1;-8
4161;137;-594;3;-2;-7
4177;130;-638;5;-4;-11
4144;145;-607;5;0;-10
4192;167;-652;3;-2;-15
4175;157;-640;4;-5;-16
4166;170;-617;5;0;-15
4203;165;-624;2;-1;-18
4189;176;-605;2;-2;-15
4177;190;-640;1;-3;-12
4157;190;-591;3;-4;-12
4174;171;-588;2;-2;-12
4154;175;-613;6;-6;-10
4133;193;-599;-2;-7;-6
4140;198;-633;5;-11;-4
4163;182;-605;5;-9;-2
4146;186;-633;3;-11;0
4164;171;-644;-1;-8;0
4168;179;-620;1;-9;2
4184;165;-612;-2;-8;4
4180;157;-597;-1;-8;2
4192;147;-613;-4;-5;-1
4195;142;-653;-6;-5;0
4191;142;-613;-3;-3;-3
4196;123;-611;-2;-2;0
4173;122;-596;-2;0;-6
4170;135;-619;2;-2;-12
4175;129;-591;2;0;-10
4149;128;-569;3;-6;-10
4133;153;-605;1;-3;-11
4140;175;-605;8;-4;-15
4143;191;-608;6;-9;-14
4155;166;-607;3;-9;-14
4153;171;-589;3;-8;-15
4158;166;-583;-1;-10;-16
4159;148;-602;-1;-17;-16
4191;185;-586;1;-17;-16
4181;173;-607;1;-17;-14
4176;170;-644;-2;-16;-11
4185;175;-630;-2;-18;-11
4181;155;-620;0;-14;-14
4194;159;-597;2;-14;-15
4163;161;-616;6;-13;-13
4176;163;-644;3;-16;-12
4152;162;-602;6;-14;-13
4155;160;-584;2;-15;-16
4148;185;-615;2;-17;-15
4144;174;-586;5;-17;-14
4158;161;-613;4;-19;-14
4148;156;-618;4;-19;-16
4169;180;-619;1;-22;-16
4173;165;-585;3;-23;-13
4177;159;-613;5;-23;-15
4181;166;-661;5;-22;-14
4194;182;-652;7;-18;-13
4166;183;-658;2;-16;-13
4186;179;-641;2;-14;-10
4179;167;-651;2;-11;-8
4159;164;-634;1;-12;-11
4189;180;-629;2;-7;-8
4186;153;-608;1;-8;-9
4173;164;-640;-1;-7;-5
4155;176;-604;-4;-3;-9
4168;182;-612;0;-8;-7
4162;164;-621;2;-8;-4
4163;187;-605;0;-8;-6
4165;148;-623;-2;-8;-7
4168;152;-621;-2;-7;-5
4157;156;-611;1;-9;-7
4143;151;-628;1;-9;-9
4157;169;-581;2;-11;-7
4167;197;-614;2;-9;-5
4176;184;-616;0;-10;-7
4166;174;-627;0;-9;-2
4163;164;-646;2;-8;-1
4151;176;-636;3;-6;-2
4161;143;-615;0;-11;-4
4169;142;-609;1;-9;-4
4143;133;-625;1;-11;-6
4178;150;-605;4;-11;-7
4168;148;-634;7;-9;-10
4176;166;-589;5;-14;-8
4172;172;-611;4;-15;-12
4175;191;-597;6;-15;-8
4183;166;-604;3;-15;-6
4159;172;-604;1;-20;-7
4171;192;-610;2;-20;-5
4172;166;-643;1;-20;-3
4178;139;-629;0;-24;-1
4182;148;-626;-1;-26;-2
4158;142;-624;1;-24;-4
4180;151;-625;2;-22;-8
4158;163;-626;4;-21;-9
4165;159;-643;5;-23;-8
4181;183;-649;7;-20;-8
4164;191;-619;5;-17;-10
4197;186;-673;7;-18;-6
4173;181;-645;5;-14;-9
4175;183;-669;3;-13;-5
4152;175;-640;3;-9;-5
4172;183;-651;-3;-7;-4
4176;175;-630;1;-3;-4
4180;158;-642;-1;-6;-2
4175;145;-643;-2;-1;-3
4175;157;-652;0;1;-4
4181;161;-646;0;0;-3
4174;162;-608;0;4;-3
4160;162;-636;2;3;-6
4175;158;-651;3;5;-8
4153;150;-624;0;7;-5
4172;175;-630;2;6;-6
4160;185;-604;1;7;-6
4165;163;-590;-2;11;-4
4154;159;-616;-3;10;-5
4167;179;-619;0;9;-4
4186;171;-617;1;7;-5
4187;155;-618;-1;1;-4
4158;144;-576;-2;-2;-4
4166;153;-594;-2;0;-6
4172;161;-595;-7;-3;-12
4175;154;-580;0;-6;-9
4165;151;-589;-1;-7;-9
4154;176;-629;-4;-12;-8
4159;163;-594;-3;-9;-6
4166;157;-619;2;-11;-6
4166;169;-587;1;-11;-7
4149;160;-596;2;-13;-8
4153;159;-610;3;-14;-8
4139;163;-606;4;-16;-8
4133;168;-626;4;-15;-6
4137;144;-597;2;-16;-10
4190;138;-606;2;-20;-10
4155;159;-604;4;-20;-11
4171;170;-599;6;-21;-8
4188;142;-636;3;-22;-10
4181;166;-604;6;-21;-11
4184;184;-608;4;-22;-10
4165;188;-600;4;-22;-11
4187;189;-605;5;-20;-8
4151;181;-636;6;-20;-4
4149;195;-639;3;-22;-1
4159;176;-640;4;-16;-1
4171;183;-655;3;-16;2
4160;165;-652;1;-10;4
4148;167;-651;0;-12;3
4180;148;-653;0;-9;6
4198;140;-642;-1;-3;3
4179;133;-651;-3;-6;1
4176;130;-643;-1;-5;-4
4180;126;-598;2;-5;-4
4194;116;-632;4;-9;-10
4169;135;-585;7;-6;-12
4187;139;-619;7;-7;-17
4177;150;-620;9;-6;-17
4170;181;-633;5;-3;-16
4187;190;-613;5;-4;-16
4180;188;-622;4;-5;-16
4174;203;-659;1;-6;-12
4174;195;-621;-2;-3;-11
4180;179;-659;0;-2;-10
4157;205;-641;-2;1;-10
4149;168;-639;-5;-1;-6
4172;182;-656;0;1;-4
4195;179;-625;-1;2;0
4175;186;-618;0;3;-3
4148;193;-608;0;2;1
4154;184;-617;-3;-2;-1
4165;177;-597;-4;-1;3
4171;177;-593;-5;-6;4
4172;160;-593;-5;-5;6
4151;136;-572;-1;-4;5
4159;144;-612;2;-6;5
4137;134;-577;4;-8;4
4166;153;-605;5;-13;1
4176;162;-615;7;-14;1
4181;158;-624;7;-17;-4
4176;147;-635;6;-15;-6
4181;140;-618;3;-13;-4
4175;153;-649;-1;-12;-6
4174;153;-674;2;-16;-7
4183;152;-648;2;-10;-8
4182;120;-637;1;-8;-11
4187;127;-658;3;-6;-14
4159;137;-609;9;-5;-16
4182;169;-634;5;-5;-19
4172;158;-612;4;-2;-18
4185;171;-618;5;-4;-20
4178;182;-612;1;-2;-18
4152;198;-631;0;-5;-16
4162;204;-598;-1;-5;-9
4143;186;-630;-2;-5;-9
4163;183;-584;1;-4;-7
4133;185;-646;-1;-6;-4
4131;193;-595;2;-6;-3
4152;179;-610;-2;-4;-1
4173;178;-611;0;-7;-3
4177;160;-617;1;-5;-1
4171;172;-630;0;-10;-1
4188;157;-602;2;-10;-1
4192;159;-614;-2;-8;-3
4179;162;-609;1;-8;-3
4173;168;-626;4;-10;-3
4148;148;-614;5;-9;-3
4161;167;-636;5;-10;-3
4158;167;-605;5;-12;-1
4122;171;-612;4;-12;-3
4155;157;-610;3;-12;-2
4158;174;-611;0;-15;-5
4157;164;-633;-1;-15;-4
4183;161;-586;-1;-16;-4
4164;186;-566;4;-20;0
4199;164;-584;4;-22;-2
4194;158;-621;2;-24;-2
4154;154;-585;2;-24;-3
4173;136;-632;2;-28;-6
4188;144;-651;2;-23;-4
4191;157;-640;6;-19;-8
4156;166;-647;8;-23;-8
4162;173;-678;6;-21;-8
4167;173;-635;8;-22;-7
4177;175;-623;5;-13;-7
4177;168;-667;1;-10;-12
4164;174;-655;-1;-8;-13
4191;157;-645;1;-6;-12
4179;171;-680;-2;-5;-11
4195;171;-629;-3;-6;-10
4189;155;-623;-2;-2;-7
4152;152;-628;-2;-1;-10
4169;180;-648;-3;-3;-9
4148;164;-627;0;-3;-7
4159;151;-660;1;1;-8
4136;151;-641;0;-1;-4
4146;163;-639;0;0;-8
4162;169;-640;-3;-1;-8
4167;158;-637;0;1;-7
4166;162;-608;-3;5;-6
4181;163;-621;-4;-1;-4
4184;171;-635;-6;3;-5
4178;179;-615;-4;3;-4
4177;164;-600;0;10;-4
4175;174;-567;0;1;-5
4169;142;-594;2;-2;-2
4150;149;-589;3;0;-3
4171;158;-597;7;-1;-4
4150;177;-599;6;-5;-3
4156;165;-606;5;-4;-4
4135;177;-602;6;-10;0
4174;157;-620;5;-10;0
4156;181;-619;3;-11;0
4157;150;-661;6;-9;1
4161;130;-605;1;-13;2
4168;148;-617;1;-14;0
4183;162;-605;0;-12;2
4176;156;-637;-2;-13;-2
4198;145;-629;-3;-12;0
4206;137;-650;-2;-10;-3
4195;132;-639;2;-10;-8
4158;126;-613;0;-9;-9
4172;159;-604;6;-10;-11
4171;161;-621;4;-7;-13
4153;164;-598;2;-12;-11
4162;160;-629;2;-12;-14
4162;155;-603;4;-14;-12
4178;151;-619;1;-13;-14
4166;166;-636;0;-9;-15
4180;167;-612;3;-12;-15
4152;161;-643;4;-9;-12
4168;174;-657;2;-7;-14
4175;171;-603;2;-9;-15
4164;188;-648;3;-7;-13
4182;197;-657;1;-3;-13
4167;221;-663;-3;-1;-7
4162;185;-646;-5;-2;-3
4153;157;-638;-6;-2;-1
4166;181;-654;-8;1;1
4166;167;-640;-4;2;1
4167;169;-615;-6;1;0
4166;152;-628;-2;0;-1
4163;155;-645;5;0;-3
4142;171;-578;3;-1;-3
4157;151;-578;1;-6;-4
4149;171;-596;2;-7;0
4151;164;-595;5;-5;0
4158;181;-615;0;-7;0
4168;173;-650;-2;-7;0
4154;173;-606;-3;-7;2
4174;171;-601;-3;-9;5
4183;152;-628;-4;-11;0
4179;148;-606;0;-12;-1
4202;149;-636;0;-15;-2
4194;161;-607;2;-13;-5
4186;161;-594;-1;-20;-4
4163;174;-591;6;-12;-3
4163;181;-590;12;-16;-2
4150;180;-635;4;-14;-2
4165;180;-593;6;-20;1
4155;164;-628;7;-20;3
4160;164;-653;6;-19;5
4155;151;-666;5;-13;2
4169;145;-694;5;-15;3
4189;148;-685;1;-12;1
4191;144;-654;2;-7;1
4212;139;-692;-1;1;-4
4213;142;-642;-1;3;-3
4215;148;-645;-3;2;-7
4215;132;-628;-1;6;-12
4178;138;-625;-4;11;-14
4176;149;-666;1;12;-17
4155;140;-647;4;14;-16
4147;134;-610;2;15;-17
4146;153;-630;-1;16;-19
4137;161;-596;0;16;-23
4134;153;-622;-1;10;-24
4127;165;-618;-1;6;-23
4143;177;-574;0;6;-23
4165;157;-603;-2;2;-19
4173;170;-546;-3;0;-22
4164;204;-567;1;-5;-19
4165;198;-604;1;-7;-16
4173;198;-582;2;-7;-15
4166;197;-601;3;-8;-14
4165;190;-598;2;-9;-11
4152;196;-596;-2;-11;-5
4137;198;-598;0;-15;-5
4152;170;-604;2;-18;-3
4155;189;-628;1;-20;-1
4163;177;-588;0;-22;2
4168;164;-599;1;-24;2
4161;164;-588;3;-25;3
4171;161;-557;0;-30;6
4168;164;-612;2;-30;7
4159;161;-601;5;-32;9
4161;151;-590;4;-39;6
4164;134;-616;3;-41;5
4163;121;-604;7;-42;4
4147;113;-631;8;-42;2
4179;128;-643;9;-40;-1
4173;127;-648;12;-41;-5
4173;145;-658;12;-39;-9
4178;149;-657;11;-34;-9
4194;130;-698;6;-38;-11
4192;167;-672;3;-29;-17
4203;165;-637;4;-25;-16
4186;158;-669;8;-24;-18
4175;159;-657;6;-18;-14
4176;159;-667;3;-14;-13
4181;189;-652;1;-14;-11
4162;192;-655;1;-11;-12
4158;193;-635;0;-12;-10
4161;166;-646;-2;-7;-9
4130;184;-608;-3;-5;-7
4148;194;-649;1;-6;-6
4142;169;-652;6;-4;-4
4156;154;-618;5;-2;-1
4145;168;-601;7;1;-3
4137;175;-670;4;-1;-5
4175;176;-628;5;1;-5
4175;179;-633;7;2;-1
4174;177;-609;2;1;-6
4171;159;-591;-1;4;-8
4188;165;-627;-2;11;-8
4189;143;-628;0;8;-4
4208;135;-620;-5;11;-10
4192;163;-615;-3;7;-10
