ax;ay;az;gx;gy;gz
4162;154;-612;-1;-32;-15
4180;155;-623;3;-30;-14
4170;166;-656;4;-26;-14
4150;174;-677;4;-29;-13
4128;188;-653;4;-26;-17
4171;184;-658;4;-24;-16
4151;167;-643;2;-19;-14
4154;174;-664;2;-21;-12
4161;182;-660;3;-13;-9
4183;192;-627;3;-15;-11
4193;179;-660;3;-15;-9
4182;186;-621;2;-11;-8
4194;191;-649;7;-15;-9
4164;195;-655;6;-14;-7
4162;189;-620;1;-15;-5
4146;204;-665;4;-11;-2
4162;194;-625;5;-12;-1
4171;202;-625;2;-11;1
4148;200;-613;3;-11;3
4141;200;-612;2;-11;9
4150;192;-630;-2;-12;11
4165;171;-621;-1;-9;12
4167;178;-643;-3;-11;16
4165;144;-640;-3;-12;15
4172;131;-626;1;-8;16
4153;140;-578;-2;-13;13
4165;111;-606;3;-17;14
4154;133;-634;4;-20;7
4191;141;-616;6;-17;5
4183;133;-649;8;-21;2
4191;134;-663;8;-18;-1
4190;115;-647;6;-21;-3
4182;123;-650;4;-17;-10
4183;121;-640;3;-20;-8
4190;128;-640;4;-16;-11
4185;118;-657;5;-16;-17
4167;122;-679;3;-17;-23
4178;130;-635;1;-14;-28
4167;136;-625;3;-11;-28
4158;134;-640;3;-13;-32
4179;120;-632;3;-16;-34
4174;154;-626;4;-12;-40
4184;188;-582;2;-16;-38
4172;191;-609;5;-17;-35
4156;208;-614;1;-18;-34
4152;208;-602;5;-17;-30
4146;243;-606;3;-23;-26
4143;232;-598;3;-24;-24
4139;231;-607;5;-29;-19
4151;239;-593;6;-33;-8
4117;244;-618;7;-33;-7
4130;225;-650;5;-39;2
4153;217;-657;6;-36;3
4141;220;-633;4;-32;9
4151;215;-644;3;-36;13
4149;195;-643;4;-34;20
4163;192;-669;1;-34;24
4174;156;-654;6;-34;23
4179;136;-675;7;-32;22
4155;134;-660;6;-30;21
4159;112;-645;11;-32;16
4165;127;-666;10;-27;13
4177;119;-651;12;-25;11
4195;132;-652;11;-25;6
4187;152;-656;13;-23;3
4214;163;-677;11;-22;2
4195;158;-685;7;-20;3
4186;162;-715;10;-18;-2
4197;155;-692;6;-10;-3
4180;163;-645;7;-12;-5
4170;144;-672;7;-11;-4
4203;169;-644;4;-9;-5
4216;161;-636;3;-9;-6
4192;184;-634;-1;-12;-5
4198;168;-622;-2;-6;-4
4195;171;-645;1;-9;-5
4185;185;-656;3;-7;-2
4176;161;-645;0;-11;-2
4172;140;-650;0;-9;-3
4154;151;-639;1;-6;-4
4156;145;-645;1;-10;-4
4172;127;-699;2;-10;-7
4164;151;-686;5;-7;-4
4166;143;-688;5;-3;-7
4166;160;-709;6;0;-9
4189;161;-676;3;-2;-11
4178;166;-681;1;10;-11
4180;170;-722;0;11;-10
4177;168;-656;-2;17;-11
4185;165;-654;-2;20;-10
4168;188;-623;-2;29;-10
4157;196;-638;-2;27;-7
4174;214;-624;-5;21;-4
4165;193;-632;-4;27;2
4159;211;-663;-6;25;4
4153;194;-607;-5;28;6
4133;185;-613;-5;24;9
4149;193;-589;-6;21;10
4159;161;-638;-7;18;9
4159;158;-622;-4;20;13
4171;157;-591;-5;13;9
4168;142;-604;-5;13;9
4164;151;-628;-3;9;7
4175;119;-607;-6;7;2
4178;103;-602;-7;10;0
4157;116;-626;-7;4;-5
4191;102;-579;-6;4;-10
4168;131;-546;-3;-1;-16
4184;99;-562;-1;-7;-19
4161;155;-598;5;-10;-23
4121;176;-565;5;-12;-24
4147;159;-571;3;-19;-27
4140;176;-559;4;-26;-25
4170;199;-609;4;-28;-25
4144;168;-622;5;-31;-23
4142;183;-600;7;-32;-20
4157;213;-621;4;-40;-18
4149;178;-634;4;-39;-16
4163;183;-609;2;-40;-12
4189;170;-650;2;-40;-11
4179;175;-616;1;-41;-11
4197;198;-641;-1;-36;-9
4175;190;-658;3;-36;-6
4159;168;-652;7;-34;0
4174;178;-594;2;-35;-3
4166;193;-647;1;-34;3
4161;182;-636;2;-31;3
4151;172;-652;1;-34;3
4181;173;-668;1;-36;3
4166;178;-679;2;-30;5
4161;151;-676;5;-30;8
4182;149;-693;1;-23;2
4164;145;-700;6;-21;3
4148;177;-696;9;-22;2
4162;164;-687;6;-21;3
4163;174;-715;6;-15;2
4172;140;-682;4;-11;3
4170;148;-678;0;-10;0
4179;135;-667;2;-10;-1
4185;150;-660;2;-4;0
4200;134;-673;0;-5;-5
4204;132;-674;0;-3;-7
4187;139;-662;-1;1;-12
4199;158;-657;-3;2;-11
4186;165;-666;3;7;-12
4199;182;-658;2;8;-15
4173;197;-675;7;9;-6
4170;193;-655;6;9;-8
4155;194;-662;1;15;-8
4158;183;-656;-1;13;-7
4169;192;-668;0;19;-2
4164;187;-676;-4;19;-7
4159;155;-628;-2;19;-1
4162;163;-626;-4;23;0
4182;164;-639;0;27;2
417
